tokenname_w_tokenid,time_est_buy,time_est_sell,price_buy,price_sell,currency_buy,currency_sell,hash_buy,hash_sell,wallet_address,pnl,pnl_w_fees
BoredApeKennelClub_5546,2021-09-03 22:32:50,2021-09-04 15:49:05,2.92,3.1,weth,weth,0x97d61f6508a60ba306dd12e8468d68a13770467d95222738d0cc5acf424157ee,0x664f5f0921f9649fa9db9afebf8dd8fa0119cc0f9ade0e8a48d172b44f11db48,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.18000000000000016,-0.03699999999999948
BoredApeKennelClub_5712,2021-09-09 14:08:25,2021-09-10 16:38:49,3.01,2.88,weth,eth,0xb4c56f2592c53d98547b7040ff0fc099bd370b2318b543803c141fa49540f690,0x627826f344b79a7e3fa04a1b33cfd71832e12315a5f499face5c29b29982ef01,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,-0.1299999999999999,-0.3315999999999999
BoredApeKennelClub_647,2021-08-22 14:42:47,2021-08-23 07:36:41,2.0406,2.58,weth,eth,0x687438286d2c9d0323a94eb5880cd2bfc479c9c442d0536df945e8150947d174,0x912b26ee56d97aa76d9bb732918a632074b241131ab7972c5c0b998ab8242592,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.5394000000000001,0.3588
BoredApeKennelClub_6961,2021-09-09 10:52:00,2021-09-11 12:11:42,3.24,2.57,weth,eth,0x05fa7a776f8ad455019e91b2856418a36e9ada296e9a321d1005b35fef13b847,0xa0d71d6c3ea9e8a2f5e8a8b255774a9ce922add305ad4c74a77b04583278104a,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,-0.6700000000000004,-0.8499000000000003
BoredApeKennelClub_6997,2022-01-02 00:31:36,2022-03-16 17:53:06,5.285,9.77,eth,eth,0x0edd361e2d7137b26e5fb76269c3639b8259005ae0d2ce76678959724f1261c8,0xb49d24a88837178165e7ec02e0d6b2f0330a2516381568db484300de1c0ccc03,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,4.484999999999999,3.8011
BoredApeKennelClub_7383,2021-10-06 01:46:35,2021-10-12 17:20:56,2.59,2.78,eth,eth,0x0947646a76d2d64a50057f91579bdb4a691f2ccfb4368fa70b7839098ca33e01,0xda31b85eec2232ae393888054316a1328e29f777ac6b4b0a867d630e5341a7d7,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.18999999999999995,-0.0045999999999999375
BoredApeKennelClub_7631,2021-08-21 16:25:30,2021-08-21 17:34:47,2.121,2.44,weth,eth,0x09cc0f935d37c8b45749c7c09fba889cec7a1729a3569ce7107b1d7c30685240,0x9b9c3b59457dd536276fd6b5b10b38c846c89a109c168dceb40547f77d36f5c2,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.31899999999999995,0.1482000000000001
BoredApeKennelClub_8268,2021-08-15 08:25:30,2021-08-15 10:48:21,1.61,1.95,weth,eth,0xe85cffb0f8f84c2f716e301975e1ee42f2b61a31f8a780756975c017d899afd1,0x2bf1edadd1c2705b76b711ba4bb3044b4918750c0546e5ed031cba83c5c12395,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.33999999999999986,0.20350000000000001
BoredApeYachtClub_1017,2021-08-28 11:47:05,2021-08-28 12:38:26,55.0,61.95,eth,eth,0xd5d079e485228d374f661b13f30ab1275399422e8a2607495ccab25f27169d58,0xd703330dc3a3a6b1b0f342e66cff2f0855e050d5294396863ff70e6cee041299,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,6.950000000000003,2.613500000000009
BoredApeYachtClub_103,2021-08-27 20:33:51,2021-08-27 20:43:52,36.0,38.25,eth,eth,0x03fc9897ecd117825a2a285faf6613508358c9378697f920af156c831a9fd6c5,0x946c0ae2e1b8abfba05289f348eafa033c777d1cece7bdd2fe11ff0359f53017,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,2.25,-0.4274999999999949
BoredApeYachtClub_160,2021-08-25 06:21:09,2021-08-25 12:37:43,32.5121,36.4,weth,eth,0x342b9c28c5a0b3b7787d4ed4e37d17c32ec213d812506bfe759b5646c4c10efd,0x2a89239e1e79eb71112740b114c9ebec7eb1ad4b9ecc719231f5cbf52a98a0cc,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,3.887900000000002,1.3399000000000072
BoredApeYachtClub_3193,2021-08-20 01:25:24,2021-08-20 02:13:44,13.561,16.15,weth,eth,0x31c1fd724b5d3291fbf899444c9fe17fa9fb471650b8bb9d89cb7769d1317df7,0x371c013b00aef966c72f898fb190d49b44e00046cecdb13bcf1134eaf309d36f,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,2.5889999999999986,1.458499999999999
BoredApeYachtClub_3368,2021-08-27 15:09:26,2021-08-27 21:08:58,35.75,38.5,eth,eth,0xab3d97050a823655d7d92b51da712146b22ccfd84fc4f0ddb2a4bcf0ceb9296c,0x490e198d251226aa7a50c22e7e92fe51346f6010200361c3fbe16d4aa43c83df,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,2.75,0.054999999999999716
BoredApeYachtClub_3387,2021-08-22 10:22:32,2021-08-23 04:09:28,18.4121,31.0,weth,eth,0x3a994bf6dd3ee3eed8a3921561b1dd8fe180fe460ab0b963a8c0c9ccb33bd19e,0x7e0b85116d2f76ab74811d11cc19624a9b352b4eb77183f35c45692809b10adb,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,12.587900000000001,10.417900000000003
BoredApeYachtClub_3417,2021-08-27 21:35:18,2021-08-28 00:10:54,37.0,41.79,eth,eth,0xb80220c344fb792442014b029a55a4caa220d9a05e6ed180b945dc84018bb5bc,0x3d8c8bc9d759e0394cd9e4a88d2c28b0a43f894ad8feb35beeb3deeda4cc1d9d,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,4.789999999999999,1.8646999999999991
BoredApeYachtClub_4506,2021-08-24 01:06:23,2021-08-25 18:34:52,27.3434,38.49,weth,eth,0x7f77e1d64e48bac21d64d3f5e477c2a4e4cb94e07ce0608f33f65aab3a019847,0x8d78b36e353ab98a49aaf4b94e4d20b288fa21d686ce626926cf23e784650afb,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,11.146600000000003,8.452300000000005
BoredApeYachtClub_6667,2021-08-26 11:17:05,2021-08-26 17:06:46,33.41,38.44,weth,eth,0x9278f81dbb03cc4327cae864b06faff19d21970b8e29a5d91bc1b519028d3d88,0x014e5f568d7cbb55d6d5546c96fc9d3fda41ff1ed4ac50a95b86e4b7ebd3e18c,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,5.030000000000001,2.3392000000000053
BoredApeYachtClub_6785,2021-08-24 11:38:50,2021-08-24 21:01:00,28.1133,35.77,weth,eth,0x1daec37bcf266c73ed01aa4e98572593852af37736290e484221deed3a7d47c2,0x1c28598bf74962cce579ff932d2d78c06fd7bde76184830de3837a6ad8fd9003,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,7.656700000000004,5.152800000000003
BoredApeYachtClub_7048,2021-08-26 14:52:16,2021-08-27 08:56:14,35.41,45.5,weth,eth,0x27133116288e96cc199b9fc29de25252e9ffb23782f466b1224d21767f774092,0x560694d3747d21841c167a8f45e6e9d2f470e692d4d5fe9b6fed966c437ec647,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,10.090000000000003,6.905000000000008
BoredApeYachtClub_804,2021-08-27 19:40:56,2021-08-28 01:34:34,35.9,40.99,weth,eth,0x22933892be1ddeb4c12abfeb45d05f566659692fab754344e2648d8a63276da2,0xa4fd638d27a5669663978dd629485346b1fb261fbfe19667712e9156a72ad12d,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,5.090000000000003,2.220700000000008
BoredApeYachtClub_8319,2021-09-24 07:15:12,2021-09-24 19:36:03,33.050999999999995,39.75,weth,eth,0x25d95abaf84a9a525eee3312ebcbe1447dfd44dcab663899afbf754c1730cde0,0x8b89a687c747af98a2664106e5ad75f84975fff53a33be7aae9e1c1080b755f3,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,6.699000000000005,3.9165000000000063
BoredApeYachtClub_9143,2021-08-25 01:32:24,2021-08-25 13:06:33,31.6228,41.0,weth,eth,0x685dd0fcc1c159a080081b3a6786455229a35578ae0801b5773addbced5ab7ef,0xd6a5be3d4e7c16636f90464d71303c1dcca196fd2bb06cbb2b0f883171df5445,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,9.377199999999998,6.507200000000001
Buzzed Bear Hideout_6552,2021-08-11 14:38:14,2021-08-12 09:36:11,0.03,0.038,eth,eth,0xeff45998044e55a19cfb50283f48fb8ce09a900cbfbde0367b03032e9fe121f0,0x3f4653fe2ad2b4588f557000d726082a20b0d709afa30779e13fbf86103777f8,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.008,0.0053400000000000045
Cool Cats_1315,2021-07-29 18:37:36,2021-07-30 10:44:54,0.456,0.64,weth,eth,0x2ecbd35e7a25a76f1a333db8deb8bd3bac6c5da00144fc997a66d14b9868954b,0x5c52efb5a3010d21f12ba0c3cdf70f84ef74db2ebb3755180cdb22b5e327c95e,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.184,0.13920000000000005
Cool Cats_1858,2021-10-24 02:50:02,2021-11-16 12:17:47,8.2994,8.74,weth,eth,0x74544a2a7fb0bac72e7c5b124944b583c11665eb324122126a5927f24a1e488c,0xe61d032bec13df8966f2669f55eab5e02cbffc842bc0c715a2ac6d1960a970ab,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.4405999999999999,-0.1711999999999989
Cool Cats_1941,2021-08-31 10:15:47,2021-08-31 10:54:09,3.33,4.275,weth,eth,0xa2c29c7053a0560a83d58fde7544cc8848230d6dcff180a2d43b79e0bd287561,0xed43c7a3221a909247fa2818aea1198747216b677a57f21d96bf378687347f51,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.9450000000000003,0.6457500000000005
Cool Cats_2165,2021-10-09 20:18:29,2021-10-10 18:19:13,8.5,10.0,weth,eth,0xf5556948b8e255e508c755802e6f4cd29249f17241b29d1b4460571b0deccc59,0x4ff58b76402f025aefc7bdc35d6424576a9399e21eef1361e19aa81b2ea22d7c,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,1.5,0.8000000000000007
Cool Cats_2220,2021-09-01 03:01:45,2021-09-01 15:13:50,3.4109,3.4,weth,eth,0xb177d426a021e133774a1af58d678d88ae5ce92996c1c5c4ae590e2f87bee6dc,0x0bc2dcdccca0b7942b16729a488afc27997a33a73f2d8ecbc8b56419198b91ae,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,-0.01089999999999991,-0.2488999999999999
Cool Cats_2725,2021-08-30 23:30:03,2021-08-31 06:58:07,4.33,4.78,weth,eth,0x81a58303fad5c5813a62c0c192e110a3250e31ca11c92eb9086c5864cc658c8c,0x09eac36f922a6127cd380c1c348bcc48782883470688b9892bb192fcfcce95a1,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.4500000000000002,0.11540000000000017
Cool Cats_3006,2021-09-04 12:57:48,2021-09-04 22:34:57,4.48,4.95,weth,eth,0x28e636581d6c2bb06dc045242a0fe68095996b12177c7a93419e045461423eb0,0x0df606f0e571e2a6ee2dded6f9b4d75e55920cbf7127de6a721f7061d3be7333,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.46999999999999975,0.12349999999999994
Cool Cats_3025,2021-08-03 22:51:16,2021-08-04 14:41:09,0.951,1.2,weth,eth,0x618ccba845ee9f628937ccd5127176552debb327b4ad7776df472db2e105a865,0xd3a1f41797d9d7baabed89236224f3ba4d9f779df3932f0a07bdd4a446cf1481,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.249,0.16500000000000015
Cool Cats_3426,2021-08-30 16:18:16,2021-08-31 01:57:49,4.33,4.69,weth,eth,0x8fc0df973f2df028f1aacab0cb5b85a32a72fe7ab089f4c6ce77cb6715838714,0xfaf6e0c13d5ba56a15cb6ce8722e7c69372cc79ebce512f072667f7aff468e66,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.3600000000000003,0.03170000000000073
Cool Cats_3875,2021-09-03 12:51:21,2021-09-03 14:31:22,3.61,5.0,weth,eth,0xcf37ccf3361d23aca1c7e22f0cb530a875b192ec0d60657f935ddc851c7ee05d,0xa4d978c3202d9df6d63dcf6bd9fb9df0582297af8555ca4560c155b129413983,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,1.3900000000000001,1.0400000000000005
Cool Cats_4319,2021-08-30 18:13:46,2021-08-30 22:31:14,4.33,4.95,weth,eth,0x85e261e1d3d42c10209cad16384b8518c2053da25b450a36eff585a589834385,0xd203bdc00cc956023e751e1b0fd888e4b42841683ae6751083c52b629518c16d,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.6200000000000001,0.2735000000000003
Cool Cats_4620,2021-08-03 22:37:13,2021-08-03 22:48:59,0.8009999999999999,1.19,weth,eth,0xab2b3dd42f999572a0f284e43866cc218206e64294b46a71a125b57527442c6b,0x6caad2d4820bff968eaf4e39bf6cad321693b9f30a47808cf7c80b8aa466b3e1,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.389,0.3057000000000001
Cool Cats_4823,2021-08-30 16:16:55,2021-08-31 04:41:51,4.33,4.59,weth,eth,0x4ca1c25fec86197232a9083d944a6fb9a6369b950562e6a000c8e373b7301e99,0xa304d3bf6b48bdaa851292a7d58a24d6503fbd94775ba8639076c41e10b10642,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.2599999999999998,-0.06130000000000013
Cool Cats_5072,2021-08-07 06:12:03,2021-08-07 09:59:23,0.62,1.95,weth,eth,0xc89f90ebc82f14c5bf2b2296741d76d4065adb2d043c18d9114307cbfc7abc2c,0x84c20b8fd949ae4cda9172a87b2ec85cca82c7b1130b4c47317c6bf20eb9d26a,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,1.33,1.1935000000000002
Cool Cats_5123,2021-09-04 04:04:21,2021-09-04 08:37:34,4.48,4.99,weth,eth,0xebc376653b8f00791da9da2c95ab0898ffaf0265a1663a15eba6f906d5e34c49,0xea5f05efa1596ecfbd853a6c66fcb9a9cbf7ae660f2ecd6a084f854a013eca2a,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.5099999999999998,0.1607000000000003
Cool Cats_5505,2021-07-30 18:46:01,2021-07-31 05:01:16,0.47,0.639,weth,eth,0x5be682e5f1751efb4097f390d9eca3268fb1da25a9429ec1b2e7b213ecb56a84,0xd1e651264bbf84ba5898ea600d33a94ce52d5f753015654813e904e16fe3bffc,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.16900000000000004,0.1242700000000001
Cool Cats_5820,2021-08-08 12:47:59,2021-08-08 12:55:51,0.835,1.15,weth,eth,0x718a1ccfbd1b2bcf28f622955c7d740c8102d75991b09b88c8e59646d1563e86,0x89babe579bd2b91c24cbeb6aebeec79f880052b6f74d761eef0f9c2ebe0f0a3a,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.31499999999999995,0.23449999999999993
Cool Cats_5844,2021-09-13 23:12:39,2021-09-14 00:55:39,4.8,5.289,weth,eth,0x0101fa0c31d59a9dee5042f134bbb5201ed97776a957cce5387c04e18472d85c,0xa0d8be3c590f3d13b2358253304f94d7dc8375eeb1104f17a3c357ae11b3a86f,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.4889999999999999,0.11877000000000049
Cool Cats_6214,2021-08-06 15:02:48,2021-08-08 16:03:19,1.41,1.49,weth,eth,0xe3ab6c3f138fdc1f757065a9c0adba1c9d8fa824490b2dff6ed64fcced71567d,0xd06c0e13bc6d719511bd1b94fe32d1a6726c3a6d46fbb693503d040588e46ea0,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.08000000000000007,-0.024299999999999766
Cool Cats_6333,2021-09-28 06:53:46,2021-09-28 14:32:02,8.2518,9.7,weth,eth,0xc70f088a606e7622a86966b927389f3e451cee847a537f7f4fdc2af3424dd358,0xc2eca28ca450419141a4b0a5152a421fcd7662332517fb0fd891139e9ad45955,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,1.4482,0.7691999999999997
Cool Cats_6734,2021-08-08 12:37:49,2021-08-08 12:53:09,0.84,1.15,weth,eth,0x54aec5d89f81b92c6f7c594cdcf5e1ed5f10eb418ba9b42dc55f750966e16389,0x1559a56af4cb72e741145c977574d0eff9d66661093face7ff64385510c54742,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.30999999999999994,0.22949999999999993
Cool Cats_6844,2021-09-03 06:40:23,2021-09-03 09:35:51,3.61,4.19,weth,eth,0xacddb94a9d7a89347da0b8197b07f79778252f6a229bf4a693f5853793d380d3,0xab1e52d4fe7339fa535785faeec5f1d3e0ad881fce5d9079ff94552b6c75fba0,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.5800000000000005,0.2867000000000006
