token_id,time_est,is_auction,price,currency,price_eth,price_usd
2754,2022-06-05 04:26:13,False,0.26,eth,0.26,437.12
2785,2022-06-10 03:03:06,False,0.16,eth,0.16,269.0
2807,2022-06-05 23:50:21,False,0.195,eth,0.195,327.84
2818,2022-06-09 05:20:34,False,0.139,eth,0.139,233.69
2815,2022-06-04 21:11:49,False,0.4,eth,0.4,672.49
2823,2022-06-04 18:47:59,False,0.39,eth,0.39,655.68
2838,2022-06-04 19:38:22,False,0.27,eth,0.27,453.93
2849,2022-06-10 16:57:31,False,1.99,eth,1.99,3345.65
2856,2022-06-10 08:04:13,False,0.19,eth,0.19,319.43
2875,2022-06-07 10:36:14,False,0.177,eth,0.177,297.58
2883,2022-06-04 18:23:35,False,0.2,eth,0.2,336.25
2882,2022-06-04 18:23:02,False,0.2,eth,0.2,336.25
2891,2022-06-10 15:46:33,False,0.12,eth,0.12,201.75
2900,2022-06-08 08:44:37,False,0.15,eth,0.15,252.18
2910,2022-06-10 03:32:31,False,0.22,eth,0.22,369.87
2921,2022-06-10 10:25:48,False,0.125,eth,0.125,210.15
2935,2022-06-04 18:40:17,False,0.2,eth,0.2,336.25
2934,2022-06-04 18:31:10,False,0.55,eth,0.55,924.68
3019,2022-06-09 22:20:54,False,1.0,eth,1.0,1681.23
3013,2022-06-08 05:45:10,False,0.155,eth,0.155,260.59
3021,2022-06-10 07:23:57,False,1.5,eth,1.5,2521.85
3032,2022-06-08 08:47:13,False,0.666,eth,0.6659999999999999,1119.7
3059,2022-06-04 18:07:09,False,0.45,eth,0.45,756.55
3072,2022-06-04 19:10:05,False,0.28,eth,0.28,470.74
3100,2022-06-10 01:40:44,False,0.155,eth,0.155,260.59
3093,2022-06-04 21:13:10,False,0.35,eth,0.35,588.43
3114,2022-06-07 09:34:29,False,0.3,eth,0.3,504.37
3166,2022-06-10 15:40:41,False,0.4,eth,0.4,672.49
3164,2022-06-05 02:09:04,False,1.7,eth,1.7,2858.09
3198,2022-06-04 17:56:15,False,100.0,eth,100.0,168123.0
3197,2022-06-04 17:54:14,False,100.0,eth,100.0,168123.0
3221,2022-06-10 14:50:29,False,0.15,eth,0.15,252.18
3223,2022-06-10 02:11:41,False,0.135,eth,0.135,226.97
3228,2022-06-07 08:24:33,False,0.285,eth,0.285,479.15
3231,2022-06-08 02:09:10,False,0.19,eth,0.19,319.43
3241,2022-06-05 11:10:35,False,0.29,eth,0.29,487.56
3281,2022-06-09 21:40:36,False,0.17,eth,0.17,285.81
3308,2022-06-10 03:33:34,False,0.3,eth,0.3,504.37
3311,2022-06-08 14:43:24,False,0.14,eth,0.14,235.37
1449,2022-06-10 17:34:29,False,0.118,eth,0.118,197.77
1350,2022-06-10 17:35:40,False,0.109,eth,0.109,182.68
3047,2022-06-10 17:35:34,False,0.11,eth,0.11,184.36
2039,2022-06-10 17:38:17,False,0.1,eth,0.1,167.6
2429,2022-06-10 17:44:36,False,5.0,eth,5.0,8380.0
2869,2022-06-10 17:44:04,False,5.0,eth,5.0,8380.0
2621,2022-06-10 17:48:24,False,0.108,eth,0.108,181.01
375,2022-06-10 17:50:52,False,0.2,eth,0.2,335.2
227,2022-06-10 17:50:11,False,2.5,eth,2.5,4190.0
705,2022-06-10 17:55:57,False,0.109,eth,0.109,182.68
