token_id,time_est,is_auction,price,currency,price_eth,price_usd,name,background,body,eyes,hand,head,mouth,skin,eyewear,face,neck,special features,legendary
2656,2022-06-10 11:58:03,False,0.145,eth,0.145,243.78,Fear City #2656,God Bless America,Green Hoodie,Natural,Lilac Cake,Gold Bunny Mask,Ciggy,Sophia,,Nose Ring Diamond,,Gold Hummingbird,
1792,2022-06-08 13:06:35,False,0.149,eth,0.149,250.5,Fear City #1792,Blue Magic,Black Hoodie,,Zippo,Blonde Princess Leia,Ciggy Holder,Thumper,,Rabbit Head,,Pigeon,
897,2022-06-10 12:13:27,False,0.149,eth,0.149,250.6,Fear City #897,Pink Spotlight,Butterfly Knives T,Natural,Pills,Shiba Baseball Cap,Cigar with Smeared Lips,Sophia,,,Samurai Bling,,
2122,2022-06-09 21:30:03,False,0.15,eth,0.15,252.18,Fear City #2122,Love Flash,Free Panther T,Normal Eyes,Red Envelopes,Silver Hero Mask,Natural Lips,ShadowKai,,,,Tentacles,
3221,2022-06-10 14:50:29,False,0.15,eth,0.15,252.18,Fear City #3221,Subway,Camo Bomber and Leather Cut-off,Smokey Punk,Cop Car,Soul Hat Green Hair,It Lips Displaced,Helen,,,,,
1952,2022-06-10 08:45:07,False,0.15,eth,0.15,252.28,Fear City #1952,God Bless America,Blue Bomber,Normal Eyes,Pills,Green Baseball Cap with Blonde Hair,Natural Lips,ShadowKai,Red Clubmasters,Eye Black,,,
1273,2022-06-08 21:01:12,False,0.15,eth,0.15,252.28,Fear City #1273,Subway,Peace Knife Vest,Normal Eyes,Double Lightsaber,Red Biker Helmet with Gold Stripe,Joint,ShadowKai,,,Samurai Bling,,
2900,2022-06-08 08:44:37,False,0.15,eth,0.15,252.18,Fear City #2900,Subway,Leather Cut Off,,Goldfish,Dismal Ears,Joker with Ciggy Holder,Thumper,,Rabbit Head,,Mouth Bubbles,
1000,2022-06-08 05:46:09,False,0.154,eth,0.154,259.01,Fear City #1000,God Bless America,Black T,Natural,Spray Paint,Blonde Mullet,Madonna Mouth,Sophia,,,Choker,,
1306,2022-06-09 17:00:10,False,0.154,eth,0.154,259.01,Fear City #1306,Green Flag,Varsity Jacket,,Hot Dog,Neon Biker Helmet,,Thumper,,Rabbit Head,Basketball Sneakers,,
