token_id,rank,score
528,3869,99.46
529,9178,72.58
530,5685,90.24
531,964,130.22
532,9987,60.76
533,6789,85.00
534,8185,78.66
535,3449,101.79
536,5241,92.35
537,2508,108.64
538,6563,86.25
539,7715,81.01
540,2838,106.11
541,8691,75.82
542,8547,76.75
543,5081,93.07
544,973,129.90
545,7572,81.65
546,960,130.30
547,8944,74.18
548,7674,81.17
549,9262,71.97
550,6865,84.69
551,7848,80.35
552,6967,84.28
553,9351,71.21
554,5021,93.42
555,3708,100.38
556,3260,103.13
557,147,188.65
558,7585,81.61
559,9115,73.04
560,2063,112.60
561,676,138.41
562,939,130.72
563,1666,116.94
564,3936,99.00
565,4025,98.53
566,5569,90.78
567,2079,112.41
568,6175,88.08
569,6117,88.30
570,6785,85.02
571,6603,86.02
572,9851,65.65
573,5398,91.58
574,6247,87.76
575,8756,75.43
576,1019,128.83
577,1072,127.58
578,1966,113.69
579,9666,68.37
580,7904,80.10
581,8195,78.62
582,1870,114.59
583,4898,94.02
584,9636,68.75
585,5533,90.94
586,1104,126.66
587,5923,89.15
588,5506,91.03
589,1329,122.12
590,7310,82.89
591,3961,98.86
592,8408,77.60
593,5614,90.61
594,9246,72.09
595,1824,115.18
596,185,177.12
597,5565,90.81
598,3633,100.80
599,478,147.54
600,2062,112.61
601,9557,69.60
602,7543,81.81
603,5356,91.76
604,9096,73.16
605,2647,107.50
606,2883,105.82
607,8462,77.27
608,5578,90.74
609,4084,98.19
610,2956,105.30
611,4360,96.67
612,668,138.76
613,3169,103.76
614,8122,79.03
615,9133,72.91
616,3313,102.73
617,9219,72.27
618,7827,80.44
619,4394,96.54
620,7204,83.26
621,4285,97.03
622,5700,90.17
623,1008,129.08
624,170,180.45
625,1133,126.16
626,5120,92.90
627,9840,65.94
628,1163,125.51
629,9302,71.65
630,6869,84.68
631,2978,105.05
632,9473,70.24
633,1361,121.57
634,3284,102.93
635,9546,69.73
636,2760,106.62
637,6715,85.43
638,856,133.05
639,4866,94.17
640,63,321.63
641,9644,68.66
642,1395,121.07
643,928,131.00
644,9566,69.52
645,8529,76.87
646,9081,73.24
647,3625,100.85
648,4442,96.28
649,7737,80.89
650,357,155.10
651,1643,117.22
652,4428,96.36
653,9260,71.98
654,9432,70.55
655,517,145.65
656,9951,62.78
657,9149,72.80
658,8171,78.76
659,6267,87.65
660,8588,76.46
661,9274,71.88
662,8722,75.62
663,699,137.82
664,4397,96.53
665,7959,79.76
666,4069,98.28
667,5428,91.41
668,4794,94.51
669,1074,127.57
670,1180,125.20
671,8109,79.08
672,5369,91.71
673,4201,97.52
674,3616,100.89
675,9003,73.85
676,4977,93.68
677,295,161.25
678,6587,86.11
679,8589,76.45
680,3735,100.25
681,7050,83.92
682,2113,112.07
683,7468,82.12
684,7210,83.24
685,1964,113.70
686,8441,77.38
687,3946,98.95
688,7696,81.09
689,5729,90.05
690,6700,85.48
691,9579,69.30
692,3754,100.19
693,9904,64.26
694,1881,114.49
695,7372,82.59
696,3475,101.65
697,7479,82.08
698,7354,82.65
699,702,137.77
700,2996,104.88
701,6766,85.13
702,9088,73.20
703,3492,101.56
704,9924,63.61
705,136,193.75
706,5649,90.44
707,776,135.31
708,4968,93.74
709,2169,111.54
710,2029,113.02
711,2624,107.67
712,3930,99.05
713,2714,107.00
714,9959,62.55
715,912,131.43
716,4620,95.34
717,1334,122.04
718,6651,85.76
719,6566,86.22
720,6460,86.77
721,6368,87.20
722,6816,84.91
723,8767,75.34
724,8077,79.21
725,9791,66.69
726,6720,85.39
727,3550,101.23
728,7830,80.44
729,2632,107.63
730,7100,83.68
731,3088,104.22
732,1402,120.99
733,8906,74.43
734,2418,109.33
735,243,167.94
736,3582,101.07
737,7265,83.05
738,3471,101.69
739,8381,77.76
740,3122,104.00
741,3073,104.38
742,3888,99.37
743,1087,127.19
744,5486,91.15
745,2210,111.18
746,8306,78.09
747,8891,74.58
748,1457,120.22
749,9152,72.77
750,5891,89.27
751,3045,104.56
752,7703,81.05
753,8803,75.15
754,3299,102.85
755,2176,111.50
756,549,144.24
757,6081,88.46
758,649,139.60
759,2058,112.63
760,4522,95.85
761,6225,87.85
762,3130,103.96
763,7664,81.22
764,1292,122.90
765,9906,64.21
766,7039,83.98
767,297,160.74
768,3105,104.11
769,5182,92.60
770,2753,106.64
771,6506,86.53
772,6640,85.85
773,5667,90.35
774,464,148.19
775,6760,85.14
776,7174,83.38
777,7639,81.34
778,4223,97.39
779,9856,65.47
780,7249,83.09
781,4520,95.86
782,9915,63.87
783,4855,94.24
784,691,138.00
785,1270,123.24
786,3452,101.78
787,8439,77.39
788,9685,68.14
789,8214,78.56
790,6078,88.48
791,1323,122.20
792,6525,86.44
793,7882,80.18
794,3261,103.13
795,5295,92.13
796,4016,98.58
797,6853,84.73
798,3598,101.01
799,7722,80.96
800,7548,81.80
801,3293,102.88
802,4971,93.73
803,4077,98.24
804,8494,77.05
805,4913,93.97
806,4882,94.10
807,1828,115.12
808,2939,105.41
809,1515,119.22
810,6150,88.18
811,5364,91.74
812,1832,115.05
813,1579,118.23
814,6972,84.26
815,5070,93.13
816,8056,79.31
817,5096,93.00
818,2968,105.18
819,2952,105.30
820,7743,80.85
821,5166,92.66
822,3058,104.45
823,5474,91.19
824,6226,87.84
825,5211,92.46
826,5382,91.64
827,4431,96.36
828,9481,70.20
829,777,135.30
830,3459,101.76
831,6163,88.13
832,9823,66.21
833,1321,122.26
834,5082,93.07
835,2549,108.26
836,325,158.22
837,7604,81.51
838,8418,77.53
839,8564,76.63
840,1378,121.27
841,8383,77.75
842,5423,91.44
843,2584,107.98
844,8181,78.69
845,5836,89.57
846,6608,86.01
847,4557,95.67
848,6463,86.75
849,2259,110.81
850,3371,102.32
851,2972,105.11
852,2741,106.75
853,8266,78.30
854,9802,66.48
855,4349,96.72
856,8483,77.13
